,cosmic_id,assay_name
908470,908470,5500994157493061613625_D04
753534,753534,5500994158987071513209_D04
1240123,1240123,5500994172383112813929_D04
1330931,1330931,5500994158987071513202_D04
1299075,1299075,5500994158987071513207_D04
909732,909732,5500994172383112813928_D04
909706,909706,5500994158987071513201_D04
1240190,1240190,5500994172383112813930_D04
1303912,1303912,5500994172948120113978_D04
909977,909977,5500994173212120213068_D05
908465,908465,5500994157493061613625_D05
949093,949093,5500994158987071513209_D05
946367,946367,5500994172383112813929_D05
949170,949170,5500994158987071513202_D05
909785,909785,5500994158987071513207_D05
1298216,1298216,5500994172383112813928_D05
753608,753608,5500994158987071513201_D05
908457,908457,5500994172383112813930_D05
909702,909702,5500994172948120113978_D05
687777,687777,5500994173212120213068_D06
906746,906746,5500994157493061613625_D06
946382,946382,5500994158987071513209_D06
684057,684057,5500994172383112813929_D06
753592,753592,5500994158987071513202_D06
687592,687592,5500994158987071513207_D06
907066,907066,5500994172383112813928_D06
683667,683667,5500994158987071513201_D06
908445,908445,5500994172383112813930_D06
1298351,1298351,5500994172948120113978_D06
1298531,1298531,5500994173212120213068_D07
909703,909703,5500994157493061613625_D07
910569,910569,5500994158987071513209_D07
906856,906856,5500994172383112813929_D07
1240168,1240168,5500994158987071513202_D07
946356,946356,5500994158987071513207_D07
753558,753558,5500994172383112813928_D07
908471,908471,5500994158987071513201_D07
1509074,1509074,5500994172383112813930_D07
753579,753579,5500994172948120113978_D07
908481,908481,5500994173212120213068_D08
724855,724855,5500994157493061613625_D08
906824,906824,5500994158987071513209_D08
924111,924111,5500994172383112813929_D08
1290806,1290806,5500994158987071513202_D08
909771,909771,5500994158987071513207_D08
724869,724869,5500994172383112813928_D08
688010,688010,5500994158987071513201_D08
910849,910849,5500994172383112813930_D08
910920,910920,5500994173212120213068_D09
724831,724831,5500994157493061613625_D09
906805,906805,5500994158987071513209_D09
1240145,1240145,5500994172383112813929_D09
906999,906999,5500994158987071513202_D09
909739,909739,5500994158987071513207_D09
910899,910899,5500994158987071513201_D09
905990,905990,5500994172383112813930_D09
